nome,link,pdf_link
ADI 1158,https://jurisprudencia.stf.jus.br/pages/search/sjur279600/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=6903741
ADI 3297,https://jurisprudencia.stf.jus.br/pages/search/sjur413927/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751243586
ADI 4389 MC,https://jurisprudencia.stf.jus.br/pages/search/sjur192664/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=4389&classe=ADI-MC
ADI 4413 MC,https://jurisprudencia.stf.jus.br/pages/search/sjur311025/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8831472
ADI 4317,https://jurisprudencia.stf.jus.br/pages/search/sjur414302/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751286549
ADI 2859,https://jurisprudencia.stf.jus.br/pages/search/sjur358417/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=11899965
ADI 5550 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur377637/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14069460
ADI 3645,https://jurisprudencia.stf.jus.br/pages/search/sjur92724/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3645&classe=ADI
ADI 4056,https://jurisprudencia.stf.jus.br/pages/search/sjur211776/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=2455183
ADI 3144,https://jurisprudencia.stf.jus.br/pages/search/sjur393724/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748556939
ADI 3418,https://jurisprudencia.stf.jus.br/pages/search/sjur395923/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748786644
ADI 5709,https://jurisprudencia.stf.jus.br/pages/search/sjur407011/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750209316
ADI 451,https://jurisprudencia.stf.jus.br/pages/search/sjur381585/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14474951
ADI 4577,https://jurisprudencia.stf.jus.br/pages/search/sjur396595/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748843669
ADI 1301 ED,https://jurisprudencia.stf.jus.br/pages/search/sjur390981/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748234079
ADI 4421,https://jurisprudencia.stf.jus.br/pages/search/sjur406603/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750162096
ADI 2374,https://jurisprudencia.stf.jus.br/pages/search/sjur92745/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2374&classe=ADI
